species;count;dbh_from;dbh_to;hd;age;stand_id
pipo;250;4;8;78;0;1
pipo;250;4;8;78;0;2
pipo;250;4;8;78;0;3
pipo;250;4;8;78;0;4
pipo;250;4;8;78;0;5
pipo;250;4;8;78;0;6
pipo;250;4;8;78;0;7
pipo;250;4;8;78;0;8
pipo;250;4;8;78;0;9
pipo;250;4;8;78;0;10
pipo;250;4;8;78;0;11
pipo;250;4;8;78;0;12
pipo;250;4;8;78;0;13
pipo;250;4;8;78;0;14
pipo;250;4;8;78;0;15
pipo;250;4;8;78;0;16
pipo;250;4;8;78;0;17
pipo;250;4;8;78;0;18
pipo;250;4;8;78;0;19
abla;250;4;8;61;0;1
abla;250;4;8;61;0;2
abla;250;4;8;61;0;3
abla;250;4;8;61;0;4
abla;250;4;8;61;0;5
abla;250;4;8;61;0;6
abla;250;4;8;61;0;7
abla;250;4;8;61;0;8
abla;250;4;8;61;0;9
abla;250;4;8;61;0;10
abla;250;4;8;61;0;11
abla;250;4;8;61;0;12
abla;250;4;8;61;0;13
abla;250;4;8;61;0;14
abla;250;4;8;61;0;15
abla;250;4;8;61;0;16
abla;250;4;8;61;0;17
abla;250;4;8;61;0;18
abla;250;4;8;61;0;19
