id model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay 
1 YOHOPIPO 45 100 65.6 24.1 10.3
2 BBBPIPO 45 54 77.1 17.9 5
3 CCRPIPO 45 53 70 21.3 8.7
4 SUABCO 45 50 75.6 18.2 6.2
5 SURIP 45 50 75.6 18.2 6.2
6 SUPILA 45 50 75.6 18.2 6.2
7 LOTHAR 45 40 78.2 16.4 5.4
8 UPTHAR 45 40 78.2 16.4 5.4
9 UPLOG 45 55 79 16.4 4.6
10 LOGPIJE 45 50 81.5 14.1 4.4
11 SFTRABMA 45 50 78.3 18.9 2.8
12 WTABMA 45 64 81.1 14.5 4.4
13 POFLABMA 45 50 72 22.2 5.8
14 PGABMA 45 56 82 13.7 4.3
15 HOMEPICO 45 66 73.8 19 7.2
16 EMSALIX 45 42 80.6 15 4.4
17 EMSLOPE 45 42 80.6 15 4.4
18 EMRIDGE 45 50 78.5 17.1 4.4
19 ROCRPICO 45 111 84 13.6 2.4
