id;type;year;species;RU_index;rid;Living_cohorts;averageHeight;averageAge;avgDeltaHPot;avgDeltaHRealized;added;addedVegetative;died;recruited;refRatio;carbonLiving;carbonGain
89;128;1;Pico;89;90;20;0.09014089405536652;2;0.11654243618249893;0.04014086723327637;0;0;0;0;0.75;0;0
89;128;1;Pima;89;90;20;0.06130572035908699;2;0.033870477229356766;0.011305713094770908;0;0;0;0;0.5;0;0
89;128;1;Bene;89;90;19;0.176096111536026;2;0.23406201601028442;0.12609612941741943;0;0;1;0;0.55;0;1.2842052921748146
88;128;1;Pima;88;89;20;0.07204575091600418;2;0.033870477229356766;0.022045742720365524;0;0;0;0;0.5;0;0
88;128;1;Pico;88;89;20;0.09105628728866577;2;0.11654243618249893;0.041056275367736816;0;0;0;0;0.75;0;0
87;128;1;Pico;87;88;20;0.08584120869636536;2;0.11654243618249893;0.03584122657775879;0;0;0;0;0.75;0;0
87;128;1;Pima;87;88;39;0.06660425662994385;2;0.03387046605348587;0.01660425402224064;0;0;1;0;0.5;0;4.680551827834145
86;128;1;Pima;86;87;60;0.0673021525144577;2;0.03387046605348587;0.017302174121141434;0;0;0;0;0.5;0;0
86;128;1;Bene;86;87;20;0.18537721037864685;2;0.23406203091144562;0.1353771835565567;0;0;0;0;0.55;0;0
86;128;1;Pico;86;87;20;0.09884435683488846;2;0.11654243618249893;0.0488443486392498;0;0;0;0;0.75;0;0
85;128;1;Pico;85;86;20;0.08857721835374832;2;0.11654243618249893;0.038577236235141754;0;0;0;0;0.75;0;0
85;128;1;Pima;85;86;40;0.06726223230361938;2;0.03387046605348587;0.017262252047657967;0;0;0;0;0.5;0;0
85;128;1;Bene;85;86;19;0.16218778491020203;2;0.23406201601028442;0.11218782514333725;0;0;1;0;0.55;0;1.2842052921748146
84;128;1;Pico;84;85;20;0.09371298551559448;2;0.11654243618249893;0.04371299967169762;0;0;0;0;0.75;0;0
84;128;1;Pima;84;85;19;0.06693289428949356;2;0.033870477229356766;0.016932887956500053;0;0;1;0;0.5;0;4.680551827834145
84;128;1;Bene;84;85;20;0.16342881321907043;2;0.23406203091144562;0.11342881619930267;0;0;0;0;0.55;0;0
83;128;1;Bene;83;84;19;0.17735865712165833;2;0.23406201601028442;0.12735867500305176;0;0;1;0;0.55;0;1.2842052921748146
83;128;1;Pico;83;84;20;0.09644504636526108;2;0.11654243618249893;0.04644506424665451;0;0;0;0;0.75;0;0
83;128;1;Pima;83;84;59;0.0689036101102829;2;0.03387046605348587;0.01890360750257969;0;0;1;0;0.5;0;4.680551827834145
82;128;1;Bene;82;83;19;0.17735865712165833;2;0.23406201601028442;0.12735867500305176;0;0;1;0;0.55;0;1.2842052921748146
82;128;1;Pico;82;83;20;0.09917710721492767;2;0.11654243618249893;0.049177125096321106;0;0;0;0;0.75;0;0
82;128;1;Potr;82;83;20;0.12677916884422302;2;0.23406203091144562;0.07677917927503586;0;0;0;0;0.8;0;0
82;128;1;Pima;82;83;20;0.06608624756336212;2;0.033870477229356766;0.016086243093013763;0;0;0;0;0.5;0;0
81;128;1;Pico;81;82;20;0.09458604454994202;2;0.11654243618249893;0.04458604007959366;0;0;0;0;0.75;0;0
81;128;1;Pima;81;82;40;0.06749676167964935;2;0.03387046605348587;0.017496760934591293;0;0;0;0;0.5;0;0
80;128;1;Potr;80;81;20;0.11032886803150177;2;0.23406203091144562;0.06032885983586311;0;0;0;0;0.8;0;0
80;128;1;Pico;80;81;20;0.08622616529464722;2;0.11654243618249893;0.03622616082429886;0;0;0;0;0.75;0;0
80;128;1;Bene;80;81;20;0.20463109016418457;2;0.23406203091144562;0.154631108045578;0;0;0;0;0.55;0;0
80;128;1;Pima;80;81;20;0.06421611458063126;2;0.033870477229356766;0.014216114766895771;0;0;0;0;0.5;0;0
79;128;1;Pico;79;80;20;0.09458604454994202;2;0.11654243618249893;0.04458604007959366;0;0;0;0;0.75;0;0
79;128;1;Pima;79;80;20;0.06859029829502106;2;0.033870477229356766;0.018590303137898445;0;0;0;0;0.5;0;0
78;128;1;Bene;78;79;20;0.1814364194869995;2;0.23406203091144562;0.13143643736839294;0;0;0;0;0.55;0;0
78;128;1;Pico;78;79;19;0.09986597299575806;2;0.11654243618249893;0.0498659685254097;0;0;1;0;0.75;0;1.2537396453573397
78;128;1;Pima;78;79;39;0.06738460063934326;2;0.03387046605348587;0.01738460175693035;0;0;1;0;0.5;0;4.680551827834145
77;128;1;Pico;77;78;20;0.08622615784406662;2;0.11654243618249893;0.03622616082429886;0;0;0;0;0.75;0;0
77;128;1;Pima;77;78;40;0.0680435448884964;2;0.03387046605348587;0.018043536692857742;0;0;0;0;0.5;0;0
76;128;1;Pico;76;77;20;0.09179941564798355;2;0.11654243618249893;0.04179941490292549;0;0;0;0;0.75;0;0
76;128;1;Pima;76;77;40;0.0669499933719635;2;0.03387046605348587;0.016949987038969994;0;0;0;0;0.5;0;0
75;128;1;Pico;75;76;20;0.10294592380523682;2;0.11654243618249893;0.052945930510759354;0;0;0;0;0.75;0;0
75;128;1;Pima;75;76;40;0.06640321016311646;2;0.03387046605348587;0.016403213143348694;0;0;0;0;0.5;0;0
74;128;1;Pico;74;75;20;0.09114968776702881;2;0.11654243618249893;0.04114967957139015;0;0;0;0;0.75;0;0
74;128;1;Pima;74;75;80;0.0666535347700119;2;0.03387046605348587;0.01665356010198593;0;0;0;0;0.5;0;0
73;128;1;Pico;73;74;20;0.09302296489477158;2;0.11654243618249893;0.04302298650145531;0;0;0;0;0.75;0;0
73;128;1;Pima;73;74;20;0.06574856489896774;2;0.033870477229356766;0.015748558565974236;0;0;0;0;0.5;0;0
73;128;1;Bene;73;74;20;0.16124238073825836;2;0.23406203091144562;0.1112423911690712;0;0;0;0;0.55;0;0
